SampleID,TimePoint,Type,PlantID,WeightGrams,Water,Inoculation,Replicate,SampleType,SpeciesRichness
KSTRAW0989,T1,Root,R07I01W03,0.0709,3,1,7,post_inoc_post_stress,11053
KSTRAW0990,T1,Root,R08I01W03,0.2332,3,1,8,post_inoc_post_stress,16212
KSTRAW0992,T1,Root,R10I01W03,0.1621,3,1,10,post_inoc_post_stress,1264
KSTRAW0993,T1,Root,R11I01W03,0.0684,3,1,11,post_inoc_post_stress,8761
KSTRAW0994,T1,Root,R12I01W03,0.0812,3,1,12,post_inoc_post_stress,2112
KSTRAW0995,T1,Root,R13I01W03,0.1368,3,1,13,post_inoc_post_stress,22025
KSTRAW0996,T1,Root,R14I01W03,0.1111,3,1,14,post_inoc_post_stress,2489
KSTRAW0997,T1,Root,R01I02W03,0.0263,3,2,1,post_inoc_post_stress,22571
KSTRAW0998,T1,Root,R02I02W03,0.0948,3,2,2,post_inoc_post_stress,3033
KSTRAW0999,T1,Root,R03I02W03,0.1772,3,2,3,post_inoc_post_stress,7536
KSTRAW1000,T1,Root,R04I02W03,0.3069,3,2,4,post_inoc_post_stress,9489
KSTRAW1001,T1,Root,R05I02W03,0.1825,3,2,5,post_inoc_post_stress,8330
KSTRAW1002,T1,Root,R06I02W03,0.1533,3,2,6,post_inoc_post_stress,10756
KSTRAW1003,T1,Root,R07I02W03,0.2617,3,2,7,post_inoc_post_stress,6770
KSTRAW1004,T1,Root,R08I02W03,0.1998,3,2,8,post_inoc_post_stress,14885
KSTRAW1005,T1,Root,R09I02W03,0.1226,3,2,9,post_inoc_post_stress,6586
KSTRAW1006,T1,Root,R10I02W03,0.0554,3,2,10,post_inoc_post_stress,8140
KSTRAW1007,T1,Root,R11I02W03,0.0998,3,2,11,post_inoc_post_stress,17866
KSTRAW1008,T1,Root,R12I02W03,0.0634,3,2,12,post_inoc_post_stress,12892
KSTRAW1009,T1,Root,R13I02W03,0.1321,3,2,13,post_inoc_post_stress,11952
KSTRAW1010,T1,Root,R14I02W03,0.2397,3,2,14,post_inoc_post_stress,23360
KSTRAW1011,T1,Root,R01I03W03,0.1796,3,3,1,post_inoc_post_stress,34013
KSTRAW1013,T1,Root,R03I03W03,0.2631,3,3,3,post_inoc_post_stress,16947
KSTRAW1014,T1,Root,R04I03W03,0.0348,3,3,4,post_inoc_post_stress,24899
KSTRAW1015,T1,Root,R05I03W03,0.2193,3,3,5,post_inoc_post_stress,7635
KSTRAW1016,T1,Root,R06I03W03,0.0413,3,3,6,post_inoc_post_stress,89006
KSTRAW1017,T1,Root,R07I03W03,0.2275,3,3,7,post_inoc_post_stress,2847
KSTRAW1018,T1,Root,R08I03W03,0.1696,3,3,8,post_inoc_post_stress,25388
KSTRAW1019,T1,Root,R09I03W03,0.1078,3,3,9,post_inoc_post_stress,16146
KSTRAW1020,T1,Root,R10I03W03,0.1469,3,3,10,post_inoc_post_stress,14015
KSTRAW1021,T1,Root,R11I03W03,0.237,3,3,11,post_inoc_post_stress,18916
KSTRAW1022,T1,Root,R12I03W03,0.1977,3,3,12,post_inoc_post_stress,9867
KSTRAW1023,T1,Root,R13I03W03,0.1787,3,3,13,post_inoc_post_stress,33156
KSTRAW1024,T1,Root,R14I03W03,0.2545,3,3,14,post_inoc_post_stress,4518
KSTRAW1025,T1,Root,R01I04W03,0.155,3,4,1,post_inoc_post_stress,5419
KSTRAW1026,T1,Root,R02I04W03,0.1084,3,4,2,post_inoc_post_stress,10362
KSTRAW1027,T1,Root,R03I04W03,0.1528,3,4,3,post_inoc_post_stress,15942
KSTRAW1028,T1,Root,R04I04W03,0.0262,3,4,4,post_inoc_post_stress,2365
KSTRAW1029,T1,Root,R05I04W03,0.2467,3,4,5,post_inoc_post_stress,5385
KSTRAW1030,T1,Root,R06I04W03,0.5279,3,4,6,post_inoc_post_stress,10715
KSTRAW1031,T1,Root,R07I04W03,0.0991,3,4,7,post_inoc_post_stress,6510
KSTRAW1032,T1,Root,R08I04W03,0.2421,3,4,8,post_inoc_post_stress,18959
KSTRAW1033,T1,Root,R09I04W03,0.1558,3,4,9,post_inoc_post_stress,6884
KSTRAW1034,T1,Root,R10I04W03,0.1236,3,4,10,post_inoc_post_stress,7877
KSTRAW1035,T1,Root,R11I04W03,0.2909,3,4,11,post_inoc_post_stress,2367
KSTRAW1036,T1,Root,R12I04W03,0.2195,3,4,12,post_inoc_post_stress,9385
KSTRAW1037,T1,Root,R13I04W03,0.0901,3,4,13,post_inoc_post_stress,2514
KSTRAW1038,T1,Root,R14I04W03,0.2888,3,4,14,post_inoc_post_stress,3461
KSTRAW1039,T1,Root,R01I05W03,0.3213,3,5,1,post_inoc_post_stress,4933
KSTRAW1040,T1,Root,R02I05W03,0.1152,3,5,2,post_inoc_post_stress,10630
KSTRAW1041,T1,Root,R03I05W03,0.1751,3,5,3,post_inoc_post_stress,2241
KSTRAW1042,T1,Root,R04I05W03,0.1271,3,5,4,post_inoc_post_stress,1027
KSTRAW1044,T1,Root,R06I05W03,0.2015,3,5,6,post_inoc_post_stress,7965
KSTRAW1046,T1,Root,R08I05W03,0.2075,3,5,8,post_inoc_post_stress,6783
KSTRAW1047,T1,Root,R09I05W03,0.1204,3,5,9,post_inoc_post_stress,9037
KSTRAW1048,T1,Root,R10I05W03,0.6737,3,5,10,post_inoc_post_stress,4499
KSTRAW1050,T1,Root,R12I05W03,0.2138,3,5,12,post_inoc_post_stress,5166
KSTRAW1051,T1,Root,R13I05W03,0.0154,3,5,13,post_inoc_post_stress,19795
KSTRAW1052,T1,Root,R14I05W03,0.2261,3,5,14,post_inoc_post_stress,14179
KSTRAW1067,T1,Shoot,R01I01W01,0.14576,1,1,1,post_inoc_post_stress,65848
KSTRAW1068,T1,Shoot,R02I01W01,0.03668,1,1,2,post_inoc_post_stress,26340
KSTRAW1069,T1,Shoot,R03I01W01,0.13967,1,1,3,post_inoc_post_stress,5222
KSTRAW1070,T1,Shoot,R04I01W01,0.05564,1,1,4,post_inoc_post_stress,10241
KSTRAW1071,T1,Shoot,R05I01W01,0.10263,1,1,5,post_inoc_post_stress,34445
KSTRAW1072,T1,Shoot,R06I01W01,0.08145,1,1,6,post_inoc_post_stress,362
KSTRAW1073,T1,Shoot,R07I01W01,0.01929,1,1,7,post_inoc_post_stress,12501
KSTRAW1074,T1,Shoot,R08I01W01,0.09991,1,1,8,post_inoc_post_stress,15966
KSTRAW1075,T1,Shoot,R09I01W01,0.06137,1,1,9,post_inoc_post_stress,3971
KSTRAW1076,T1,Shoot,R10I01W01,0.0402,1,1,10,post_inoc_post_stress,54832
KSTRAW1077,T1,Shoot,R11I01W01,0.06099,1,1,11,post_inoc_post_stress,9538
KSTRAW1078,T1,Shoot,R12I01W01,0.08811,1,1,12,post_inoc_post_stress,7530
KSTRAW1079,T1,Shoot,R13I01W01,0.12888,1,1,13,post_inoc_post_stress,5347
KSTRAW1080,T1,Shoot,R14I01W01,0.10646,1,1,14,post_inoc_post_stress,2500
KSTRAW1081,T1,Shoot,R09I02W01,0.15395,1,2,9,post_inoc_post_stress,1659
KSTRAW1082,T1,Shoot,R02I02W01,0.12414,1,2,2,post_inoc_post_stress,13249
KSTRAW1083,T1,Shoot,R03I02W01,0.03754,1,2,3,post_inoc_post_stress,25505
KSTRAW1084,T1,Shoot,R04I02W01,0.05596,1,2,4,post_inoc_post_stress,33754
KSTRAW1085,T1,Root,R10I02W01,0.2685,1,2,10,post_inoc_post_stress,15614
KSTRAW1086,T1,Shoot,R10I02W01,0.12211,1,2,10,post_inoc_post_stress,62733
KSTRAW1087,T1,Root,R11I02W01,0.1875,1,2,11,post_inoc_post_stress,11990
KSTRAW1088,T1,Shoot,R11I02W01,0.11087,1,2,11,post_inoc_post_stress,2063
KSTRAW1089,T1,Root,R12I02W01,0.0708,1,2,12,post_inoc_post_stress,6991
KSTRAW1090,T1,Shoot,R12I02W01,0.04035,1,2,12,post_inoc_post_stress,20885
KSTRAW1091,T1,Root,R13I02W01,0.1151,1,2,13,post_inoc_post_stress,645
KSTRAW1092,T1,Shoot,R13I02W01,0.09249,1,2,13,post_inoc_post_stress,1275
KSTRAW1093,T1,Root,R14I02W01,0.2462,1,2,14,post_inoc_post_stress,3661
KSTRAW1094,T1,Shoot,R14I02W01,0.16986,1,2,14,post_inoc_post_stress,2203
KSTRAW1095,T1,Shoot,R01I03W01,0.02456,1,3,1,post_inoc_post_stress,7979
KSTRAW1096,T1,Shoot,R02I03W01,0.02884,1,3,2,post_inoc_post_stress,10196
KSTRAW1097,T1,Shoot,R03I03W01,0.0518,1,3,3,post_inoc_post_stress,20146
KSTRAW1098,T1,Shoot,R04I03W01,0.02255,1,3,4,post_inoc_post_stress,9833
KSTRAW1099,T1,Shoot,R05I03W01,NA,1,3,5,post_inoc_post_stress,14613
KSTRAW1100,T1,Shoot,R06I03W01,0.06631,1,3,6,post_inoc_post_stress,1867
KSTRAW1102,T1,Shoot,R08I03W01,0.12361,1,3,8,post_inoc_post_stress,3410
KSTRAW1103,T1,Shoot,R09I03W01,0.14834,1,3,9,post_inoc_post_stress,323
KSTRAW1104,T1,Shoot,R10I03W01,0.04842,1,3,10,post_inoc_post_stress,34986
KSTRAW1105,T1,Shoot,R11I03W01,0.0353,1,3,11,post_inoc_post_stress,17372
KSTRAW1106,T1,Shoot,R12I03W01,0.05161,1,3,12,post_inoc_post_stress,4552
KSTRAW1107,T1,Shoot,R13I03W01,0.10096,1,3,13,post_inoc_post_stress,11571
KSTRAW1108,T1,Shoot,R14I03W01,0.05884,1,3,14,post_inoc_post_stress,939
KSTRAW1111,T1,Shoot,R03I04W01,0.0609,1,4,3,post_inoc_post_stress,3210
KSTRAW1112,T1,Shoot,R04I04W01,0.09441,1,4,4,post_inoc_post_stress,846
KSTRAW1113,T1,Shoot,R05I04W01,0.05321,1,4,5,post_inoc_post_stress,3794
KSTRAW1114,T1,Shoot,R06I04W01,0.0257,1,4,6,post_inoc_post_stress,2598
KSTRAW1115,T1,Shoot,R07I04W01,0.05381,1,4,7,post_inoc_post_stress,6602
KSTRAW1116,T1,Shoot,R08I04W01,0.04849,1,4,8,post_inoc_post_stress,832
KSTRAW1117,T1,Shoot,R09I04W01,0.09706,1,4,9,post_inoc_post_stress,2895
KSTRAW1118,T1,Shoot,R10I04W01,0.03205,1,4,10,post_inoc_post_stress,4296
KSTRAW1119,T1,Shoot,R11I04W01,0.05517,1,4,11,post_inoc_post_stress,1835
KSTRAW1120,T1,Shoot,R12I04W01,0.04325,1,4,12,post_inoc_post_stress,2066
KSTRAW1121,T1,Shoot,R13I04W01,0.14588,1,4,13,post_inoc_post_stress,309
KSTRAW1122,T1,Shoot,R14I04W01,0.08241,1,4,14,post_inoc_post_stress,2466
KSTRAW1123,T1,Shoot,R01I05W01,0.07689,1,5,1,post_inoc_post_stress,520
KSTRAW1124,T1,Shoot,R02I05W01,0.03888,1,5,2,post_inoc_post_stress,2766
KSTRAW1125,T1,Shoot,R03I05W01,0.02552,1,5,3,post_inoc_post_stress,2066
KSTRAW1126,T1,Shoot,R04I05W01,0.02925,1,5,4,post_inoc_post_stress,830
KSTRAW1127,T1,Shoot,R05I05W01,0.05317,1,5,5,post_inoc_post_stress,515
KSTRAW1128,T1,Shoot,R06I05W01,0.13449,1,5,6,post_inoc_post_stress,2394
KSTRAW1129,T1,Shoot,R07I05W01,0.12802,1,5,7,post_inoc_post_stress,2747
KSTRAW1130,T1,Shoot,R08I05W01,0.10791,1,5,8,post_inoc_post_stress,2877
KSTRAW1131,T1,Shoot,R09I05W01,0.06807,1,5,9,post_inoc_post_stress,2081
KSTRAW1132,T1,Shoot,R10I05W01,0.14424,1,5,10,post_inoc_post_stress,231
KSTRAW1133,T1,Shoot,R11I05W01,0.21752,1,5,11,post_inoc_post_stress,4628
KSTRAW1135,T1,Shoot,R13I05W01,0.01968,1,5,13,post_inoc_post_stress,6773
KSTRAW1136,T1,Shoot,R14I05W01,0.096,1,5,14,post_inoc_post_stress,16347
KSTRAW1151,T1,Shoot,R01I01W02,0.05775,2,1,1,post_inoc_post_stress,20001
KSTRAW1152,T1,Shoot,R02I01W02,0.10331,2,1,2,post_inoc_post_stress,744
KSTRAW1153,T1,Shoot,R03I01W02,0.16029,2,1,3,post_inoc_post_stress,9240
KSTRAW1154,T1,Shoot,R04I01W02,0.08585,2,1,4,post_inoc_post_stress,14281
KSTRAW1155,T1,Shoot,R05I01W02,0.10794,2,1,5,post_inoc_post_stress,8892
KSTRAW1156,T1,Shoot,R06I01W02,0.06678,2,1,6,post_inoc_post_stress,207
KSTRAW1157,T1,Shoot,R07I01W02,0.17716,2,1,7,post_inoc_post_stress,4528
KSTRAW1158,T1,Shoot,R08I01W02,0.0748,2,1,8,post_inoc_post_stress,10973
KSTRAW1159,T1,Shoot,R09I01W02,0.06222,2,1,9,post_inoc_post_stress,17736
KSTRAW1160,T1,Shoot,R10I01W02,0.03573,2,1,10,post_inoc_post_stress,9976
KSTRAW1161,T1,Shoot,R11I01W02,0.14492,2,1,11,post_inoc_post_stress,27720
KSTRAW1162,T1,Shoot,R12I01W02,0.01339,2,1,12,post_inoc_post_stress,10316
KSTRAW1163,T1,Shoot,R13I01W02,0.03182,2,1,13,post_inoc_post_stress,9270
KSTRAW1164,T1,Shoot,R14I01W02,0.21145,2,1,14,post_inoc_post_stress,17630
KSTRAW1165,T1,Shoot,R01I02W02,0.10963,2,2,1,post_inoc_post_stress,14676
